Popularity	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_in min/ms	time_signature	Class
40	0.565	0.292	8	-13.124	1	0.0255	0.889	0.00126	0.112	0.217	78.535	3.503633333	1	0
1	0.558	0.439	1	-9.676	1	0.0274	0.248	0.00165	0.102	0.0381	103.958	4.947116667	1	0
21	0.472	0.534	2	-10.742	0	0.0342	0.76	0.0861	0.0893	0.383	184.014	4.972833333	1	0
35	0.594	0.619	1	-11.123	0	0.0478	0.597	0.000144	0.0694	0.385	89.691	5.835783333	1	0
21	0.732	0.55	2	-8.711	0	0.0397	0.809	0.091	0.0914	0.235	132.974	6.133783333	1	0
25	0.535	0.498	7	-8.768	1	0.0346	0.0184	0.00723	0.191	0.334	150.031	8.51725	1	0
46	0.673	0.357	7	-7.087	1	0.0288	0.434	1.37E-05	0.313	0.547	107.984	2.72236667	3	0
37	0.687	0.297	8	-10.029	1	0.0256	0.527	0.203	0.137	0.6	77.096	3.033533333	3	0
30	0.258	0.321	10	-11.629	0	0.0307	0.612	0.213	0.453	0.0641	70.015	3.1551	3	0
52	0.587	0.299	2	-6.649	1	0.0327	0.853	2.11E-06	0.149	0.184	96.657	3.16778333	3	0
43	0.357	0.296	6	-10.199	0	0.0349	0.915	0.00137	0.0912	0.12	142.65	3.183083333	3	0
55	0.614	0.275	3	-8.744	1	0.027	0.904	2.26E-05	0.118	0.303	130.875	3.298	3	0
34	0.325	0.297	8	-7.669	1	0.0329	0.897	0.000224	0.109	0.193	178.944	3.316433333	3	0
7	0.675	0.598	5	-9.007	0	0.0298	0.501	0.0261	0.0984	0.28	119.996	3.333333333	3	0
70	0.292	0.324	3	-11.996	1	0.0346	0.797	0.000473	0.12	0.384	176.631	3.35621667	3	0
45	0.431	0.392	6	-9.994	0	0.0585	0.705	7.33E-06	0.174	0.3	98.667	3.431266667	3	0
46	0.444	0.296	8	-12.873	1	0.0388	0.913	0.00191	0.0957	0.26	138.516	3.55021667	3	0
64	0.259	0.241	2	-15.955	1	0.042	0.554	6.62E-06	0.0849	0.275	178.453	3.58821667	3	0
20	0.412	0.571	4	-10.853	0	0.0644	0.629	0.000108	0.27	0.165	139.913	3.60675	3	0
44	0.403	0.209	5	-10.437	1	0.0474	0.932	2.73E-06	0.125	0.486	166.597	3.62645	3	0
