,Algorithm,params,mean_test_score
0,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.8485045739192232
1,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.8500416919988307
2,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.8411805205010168
3,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.852274849832526
4,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.8395217313966314
5,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.7846790941078347
6,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.851817072038308
7,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.8467673195532738
8,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.7873833178370656
9,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.8505728912236405
10,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.834309984927678
11,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.8129804135114282
12,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.8492716564575179
13,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.7542581098317869
14,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.6835252577823524
15,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.8521857805519982
16,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.7543055093762624
17,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.6706483167196218
18,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.8431992384051907
19,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.8134848437079473
20,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.7853565299461207
21,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.835215578237022
22,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.7048101280211596
23,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.6472192451552353
24,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.8478304258588508
25,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.6704149576264687
26,Ada Boost with Decision Tree Regression,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.5378173091059555
27,Ada Boost with Decision Tree Regression,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.8419721611607628
28,Ada Boost with Decision Tree Regression,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.806784791614089
29,Ada Boost with Decision Tree Regression,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.7797295878769966
30,Ada Boost with Decision Tree Regression,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.825715352512644
31,Ada Boost with Decision Tree Regression,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.6723846017516102
32,Ada Boost with Decision Tree Regression,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.6247665751941465
33,Ada Boost with Decision Tree Regression,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.8391306855855838
34,Ada Boost with Decision Tree Regression,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.6266771418651318
35,Ada Boost with Decision Tree Regression,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.4575529478338116
