,Algorithm,params,mean_test_score
0,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.8936911621696797
1,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.8919997633605583
2,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.8848277779078639
3,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.8969072311681247
4,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.882840124045196
5,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.8409831032341838
6,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.8945789069593607
7,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.885426633985778
8,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.8221602706267195
9,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.8926658676868631
10,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.8804186035606035
11,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.8648231954265004
12,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.8945170722020329
13,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.8136373798549867
14,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.7574208934313624
15,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.8924557533384473
16,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.7684433938298912
17,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.6067020972484546
18,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.8876974539874428
19,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.8687534571127463
20,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.844560977056573
21,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.8835436422399997
22,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.7711856655978948
23,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.7245022329754278
24,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.8869118994472516
25,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.6555879990698432
26,Ada Boost with Decision Tree Regressor,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.45727901421362
27,Ada Boost with Decision Tree Regressor,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.8860730080733143
28,Ada Boost with Decision Tree Regressor,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.8618255070875993
29,Ada Boost with Decision Tree Regressor,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.837742287258683
30,Ada Boost with Decision Tree Regressor,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.8751887353292418
31,Ada Boost with Decision Tree Regressor,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.7552908641816952
32,Ada Boost with Decision Tree Regressor,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.7140232380959484
33,Ada Boost with Decision Tree Regressor,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.87882221888002
34,Ada Boost with Decision Tree Regressor,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.6250526108468146
35,Ada Boost with Decision Tree Regressor,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.3582879573515415
