,Algorithm,params,mean_test_score
0,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.4886158832386626
1,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.48858191803459167
2,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.48858191803459167
3,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.41156925911705633
4,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.41156925911705633
5,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.41156925911705633
6,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.4781844068062358
7,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.22583571298130667
8,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.22583571298130667
9,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.4925976811040561
10,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.4925976811040561
11,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.4925976811040561
12,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.4118802522295879
13,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.4118802522295879
14,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.4118802522295879
15,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.32987968482458613
16,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.21994619958516778
17,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.21994619958516778
18,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.4882464892559571
19,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.4882464892559571
20,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.4882464892559571
21,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.3725833746695845
22,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.3725833746695845
23,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.3725833746695845
24,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.22575091983635484
25,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.21497392088849782
26,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.21497392088849782
27,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.49743594747682895
28,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.49743594747682895
29,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.49743594747682895
30,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.491469282838677
31,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.491469282838677
32,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.491469282838677
33,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.21306913460295843
34,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.2118918585187704
35,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.2118918585187704
