,Algorithm,params,mean_test_score
0,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.4550934145947199
1,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.4550934145947199
2,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.4550934145947199
3,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.43751804185937004
4,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.43751804185937004
5,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.43751804185937004
6,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.432144014067923
7,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.37913709529870454
8,Ada Boost with Linear Regression,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.37913709529870454
9,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.45279510616534957
10,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.45279510616534957
11,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.45279510616534957
12,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.4390045389019838
13,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.4390045389019838
14,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.4390045389019838
15,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.39219566729677907
16,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.3759911895599513
17,Ada Boost with Linear Regression,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.3759911895599513
18,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.45504907303434444
19,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.45504907303434444
20,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.45504907303434444
21,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.4143218775425613
22,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.4143218775425613
23,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.4143218775425613
24,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.3717333299566567
25,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.3702862309004324
26,Ada Boost with Linear Regression,"{'learning_rate': 0.8, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.3702862309004324
27,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",0.44039258933618397
28,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}",0.44039258933618397
29,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 1000, 'random_state': 42}",0.44039258933618397
30,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",0.3872430569675088
31,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 500, 'random_state': 42}",0.3872430569675088
32,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 1000, 'random_state': 42}",0.3872430569675088
33,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",0.37204671037900783
34,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 500, 'random_state': 42}",0.37204671037900783
35,Ada Boost with Linear Regression,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 1000, 'random_state': 42}",0.37204671037900783
