,Algorithm,params,mean_test_score
0,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.8370917165816983
1,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.8300994213564794
2,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 3, 'random_state': 42, 'splitter': 'best'}",0.8407054171118468
3,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 3, 'random_state': 42, 'splitter': 'random'}",0.8437786446421331
4,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 4, 'random_state': 42, 'splitter': 'best'}",0.8408480767561276
5,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 4, 'random_state': 42, 'splitter': 'random'}",0.8418173303554445
6,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",0.8403781502981458
7,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",0.8439592931562544
8,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 6, 'random_state': 42, 'splitter': 'best'}",0.8407461150750652
9,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 6, 'random_state': 42, 'splitter': 'random'}",0.851664412521654
10,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.5292143134751525
