,Algorithm,params,mean_test_score
0,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6616113971167749
1,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.7131868769304461
2,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.7303227678716653
3,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.6616113971167749
4,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.7131868769304461
5,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.7303227678716653
6,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.6616113971167749
7,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.712828923407502
8,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.7303593738304495
9,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.6616113971167749
10,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 42}",0.712828923407502
11,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 1000, 'random_state': 42}",0.7303593738304495
12,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.7074905890671298
13,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.7631627948249164
14,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.7756103991046917
15,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.7073046671325492
16,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.7625839519432428
17,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.7757975889551281
18,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.7071552462549034
19,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.7626279954650801
20,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.7750776454884087
21,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.7068227098998122
22,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 42}",0.7634929831967117
