,Algorithm,params,mean_test_score
0,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.7866420761140669
1,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.8389973466237001
2,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.85566576901914
3,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.7866420761140669
4,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.8389973558965952
5,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.8556682268884351
6,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.7866420761140669
7,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.8388299208621225
8,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.8557609882988529
9,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.7866420761140669
10,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 42}",0.8387509820134893
11,Gradient Boosting Regressor,"{'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 1000, 'random_state': 42}",0.855609666361808
12,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.8264271635161997
13,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.8721149766238053
14,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.8826744525660339
15,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.8264182103449862
16,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.8720434479810999
17,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.882807510155323
18,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.8264350005702281
19,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.8714945465822043
20,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.8830066991767067
21,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.8264333980284786
22,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 42}",0.8714222703062161
23,Gradient Boosting Regressor,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 1000, 'random_state': 42}",0.8822474534085393
24,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.8517089953623292
25,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.885797443078855
26,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.8920804828134088
27,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.8517235189024405
28,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.8852654091930724
29,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.8919093879772311
30,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.8513155710205573
31,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.8861586962659602
32,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.8924193224561007
33,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.8507193596917165
34,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 42}",0.8857525002682156
35,Gradient Boosting Regressor,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 1000, 'random_state': 42}",0.8920801813759253
36,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.8706885257252204
37,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.8947431057563602
38,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.8974497596812663
39,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.871462187509317
40,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.8967114133284605
41,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.8991222551464876
42,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.8709800256716644
43,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.8956955656115009
44,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.8983333384290569
45,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.8716677176070018
46,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 42}",0.8966199490193659
47,Gradient Boosting Regressor,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 1000, 'random_state': 42}",0.8991964524517874
