,Algorithm,params,mean_test_score
0,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.5356521099696729
1,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.5355997757443445
2,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.5357139809856482
3,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.5356521099696729
4,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.5355997757443445
5,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.5357139809856482
6,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.5356521099696729
7,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.5355997757443445
8,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.5357139809856482
9,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.47343377347132004
10,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.4734157386750348
11,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.4733965124992469
12,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.47343377347132004
13,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.4734157386750348
14,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.4733965124992469
15,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.47343377347132004
16,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.4734157386750348
17,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.4733965124992469
18,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.5304794299678834
19,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.5304328015185973
20,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.530549606897553
21,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.5304794299678834
22,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.5304328015185973
23,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.530549606897553
24,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.5304794299678834
25,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.5304328015185973
26,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.530549606897553
27,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.5356521099696729
28,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.5355997757443445
29,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.5357139809856482
30,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.5356521099696729
31,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.5355997757443445
32,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.5357139809856482
33,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.5356521099696729
34,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.5355997757443445
35,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.5357139809856482
36,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.5814454707697803
37,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.5814645912798551
38,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.5814477204520347
39,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.5814454707697803
40,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.5814645912798551
41,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.5814477204520347
42,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.5814454707697803
43,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.5814645912798551
44,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.5814477204520347
45,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.47343377347132004
46,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.4734157386750348
47,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.4733965124992469
48,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.47343377347132004
49,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.4734157386750348
50,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.4733965124992469
51,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.47343377347132004
52,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.4734157386750348
53,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.4733965124992469
54,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.5304794299678834
55,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.5304328015185973
56,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.530549606897553
57,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.5304794299678834
58,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.5304328015185973
