,Algorithm,params,mean_test_score
0,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6561331290715697
1,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.6560566624551691
2,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.6559575441972122
3,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.6561331290715697
4,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.6560566624551691
5,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.6559575441972122
6,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.6561331290715697
7,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.6560566624551691
8,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.6559575441972122
9,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.5292043030803597
10,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.5292105545485489
11,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.5292109815475546
12,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.5292043030803597
13,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.5292105545485489
14,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.5292109815475546
15,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.5292043030803597
16,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.5292105545485489
17,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.5292109815475546
18,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6499598834966459
19,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.6499421540579696
20,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.6498537955733198
21,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.6499598834966459
22,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.6499421540579696
23,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.6498537955733198
24,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.6499598834966459
25,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.6499421540579696
26,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 3, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.6498537955733198
27,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6561331290715697
28,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.6560566624551691
29,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.6559575441972122
30,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.6561331290715697
31,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.6560566624551691
32,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.6559575441972122
33,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.6561331290715697
34,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.6560566624551691
35,Random Forest Regressor,"{'max_depth': 2, 'max_leaf_nodes': 4, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.6559575441972122
36,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6968905011915
37,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.6975210914232508
38,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.6971593703003858
39,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.6968905011915
40,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.6975210914232508
41,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.6971593703003858
42,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.6968905011915
43,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.6975210914232508
44,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.6971593703003858
45,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.5292043030803597
46,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.5292105545485489
47,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.5292109815475546
48,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.5292043030803597
49,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.5292105545485489
50,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.5292109815475546
51,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.5292043030803597
52,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.5292105545485489
53,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.5292109815475546
54,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6499598834966459
55,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",0.6499421540579696
56,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",0.6498537955733198
57,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",0.6499598834966459
58,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 500, 'random_state': 42}",0.6499421540579696
59,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 3, 'n_estimators': 1000, 'random_state': 42}",0.6498537955733198
60,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 42}",0.6499598834966459
61,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 4, 'n_estimators': 500, 'random_state': 42}",0.6499421540579696
62,Random Forest Regressor,"{'max_depth': 3, 'max_leaf_nodes': 3, 'min_samples_split': 4, 'n_estimators': 1000, 'random_state': 42}",0.6498537955733198
