,Algorithm,params,mean_test_score
0,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.7621794014784369
1,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.7547830969797578
2,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 3, 'random_state': 42, 'splitter': 'best'}",0.7643519168029315
3,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 3, 'random_state': 42, 'splitter': 'random'}",0.7685027574458067
4,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 4, 'random_state': 42, 'splitter': 'best'}",0.7654884848774882
5,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 4, 'random_state': 42, 'splitter': 'random'}",0.7822891835455035
6,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",0.7657479772417539
7,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",0.7864469396118694
8,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 6, 'random_state': 42, 'splitter': 'best'}",0.7696765333164354
9,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_split': 6, 'random_state': 42, 'splitter': 'random'}",0.7810519286672639
10,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.4716777427427591
11,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.034726426199956736
12,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'random_state': 42, 'splitter': 'best'}",0.4716777427427591
13,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': 2, 'min_samples_split': 3, 'random_state': 42, 'splitter': 'random'}",0.034726426199956736
14,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'random_state': 42, 'splitter': 'best'}",0.4716777427427591
15,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'max_leaf_nodes': 2, 'min_samples_split': 4, 'random_state': 42, 'splitter': 'random'}",0.034726426199956736
